Person,Profession,SCORE
Valvin Roane,Songwriter,1
Don Haggerty,Athlete,1
Hans Kotter,Composer,0
Scott Fielding,Politician,1
Wen Tsing Chow,Scientist,1
"Efren Reyes, Jr.",Actor,1
Friedrich Erismann,Physician,1
Andon Zako Çajupi,Playwright,1
Leonard Dembo,Guitarist,1
Alfred Gürtler,Economist,1
Hugo Gyldmark,Film Score Composer,1
Bernice Shedrick,Lawyer,1
Paul May,Screenwriter,1
Peter Goldsworthy,Novelist,1
Cecil Morgan,Politician,1
Do?u Perinçek,Politician,1
Bob Howard,Coach,1
Chris Cutler,Drummer,1
Greg Mulleavy,Baseball Manager,1
Parviz Kimiavi,Film Editor,1
"Rob Jones (footballer, born 1979)",Football player,1
Maurice Browning,Actor,1
Sheena M. Joyce,Film Director,1
Janie Porter Barrett,Teacher,1
Glover H. Cary,Lawyer,1
Matthew Gandy,Editor,1
José Pablo Quirós Quirós,Politician,1
Kano (rapper),Songwriter,1
Ross Ching,Film Director,1
Steve Denton,Coach,1
João Baptista de Lacerda,Physician,1
Ralph Barton Perry,Philosopher,1
Kate Dollenmayer,Animator,1
Izhar Cohen,Singer,1
Bogdan Stelea,Coach,1
Robert Curbeam,Engineer,1
Nana Yamada,Singer,1
Stanis?aw Ostrowski,Politician,1
John Mattes,Journalist,1
Halit Refi?,Screenwriter,1
Kaaren Verne,Actor,1
Danny Sue Nolan,Actor,1
James A. Redden,Judge,1
Dave Habiger,Businessperson,1
Colley Cibber,Actor,1
Leo Sheffield,Singer,1
Rick Berman,Film Producer,1
Steve Levy,Actor,1
Valentine Davies,Film Director,1
Mahavir Singh,Judge,0
Ervin László,Philosopher,1
Aida Pierce,Singer,1
William Henry Thompson,Judge,1
Dann Cahn,TV Editor,1
Galina Starovoytova,Politician,1
William Nordhaus,Professor,1
Suzanne Hall,Actor,1
Jasmin Wagner,Presenter,1
Tye Olson,Actor,1
"Capi (footballer, born 1977)",Football player,1
Kaaron Warren,Writer,1
Daniel Pipes,Historian,1
Jonathan Newman,Film Producer,1
Kristopher Van Varenberg,Actor,1
J-Zone,Writer,1
J. Carrol Naish,Actor,1
Wolfgang Gust,Writer,1
Tamir Sapir,Entrepreneur,1
Rolf G. Fjelde,Playwright,1
Francisco Cuoco,Actor,1
Eric Hoffer,Author,1
Jaime Mañalich,Politician,1
Trudi Ames,Actor,1
Paul Bales,Film Director,1
Archibald Garrod,Physician,1
Tadeusz Boy-?ele?ski,Physician,1
Ben Kuchera,Editor,1
Maile Chapman,Novelist,1
Ege Maltepe,Playwright,1
Momo Kapor,Author,1
Mina Fukui,Actor,1
Edgar Malakyan,Football player,1
Lasse Strömstedt,Actor,1
Herbert Feis,Historian,1
Helen Churchill Candee,Novelist,1
Larry Gates,Actor,1
Charles R. Saunders,Writer,1
Devin Ebanks,Basketball player,1
Monty Williams,Basketball player,1
Arthur H. Lefebvre,Engineer,1
Reuben Nakian,Artist,1
Chuck Wilson (sports journalist),Radio personality,1
Loreena McKennitt,Singer,1
Armand Bernard,Film Score Composer,1
John Seaton Robinson,Politician,1
Walter Klenhard,Actor,1
Chris Gissell,Baseball player,1
Thavisouk Phrasavath,Film Director,1
Robert Chapin,Screenwriter,1
Hal Wiltse,Baseball player,1
